word,valence,arousal
jubilance,3.520000,1.240000
jubilancy,3.520000,1.240000
jubilant,3.520000,1.240000
jubilate,3.520000,1.240000
jubilation,3.520000,1.240000
kidnapped,-3.333200,0.000000
kidnapping,-3.333200,0.000000
kill,-4.000000,0.000000
killed,-2.000000,-1.500000
killer,-3.120000,2.880000
slayer,-3.120000,2.880000
thug,-3.120000,2.880000
cutthroat,-3.120000,2.880000
mortal,-1.333200,-0.888800
deadly,-2.545600,0.000000
fatal,-4.000000,1.090800
lethal,-1.333200,-0.888800
deathly,-2.545600,0.000000
reflect,-0.800000,0.000000
reflected,4.000000,-0.800000
reflecting,2.000000,0.000000
reflection,1.200000,-1.454400
contemplation,1.200000,-1.454400
contemplate,1.200000,-1.454400
meditation,1.200000,-1.454400
meditate,1.200000,-1.454400
introspection,1.200000,-1.454400
carnivore,-3.120000,2.880000
predator,-3.120000,2.880000
predatory,-3.120000,2.880000
rob,-2.000000,0.000000
robbed,-2.000000,0.000000
robbery,-2.545600,1.818000
marauder,-3.120000,2.880000
steal,-2.545600,1.818000
stealing,-2.545600,1.818000
stolen,-2.000000,0.000000
killers,-3.000000,0.400000
killing,-2.857200,0.400000
kindness,2.285600,-0.444400
kiss,3.280000,2.320000
kisses,3.200000,1.333200
lacked,-4.000000,-3.120000
lacking,-4.000000,-3.000000
lake,1.840000,-1.040000
lameness,-3.000000,-2.480000
last,-3.200000,-3.120000
laugh,3.428400,1.818000
laughing,3.440000,2.920000
laughter,3.440000,1.760000
laziness,-3.480000,-3.320000
leprosy,-2.920000,1.280000
lethargy,-1.333200,-2.182000
limitation,-3.000000,-2.480000
limitations,-4.000000,-3.480000
limp,-3.320000,-3.200000
loathing,-3.440000,-1.720000
lone,-4.000000,-2.920000
lonely,-4.000000,-2.920000
lonesome,-1.733200,-2.000000
loser,-4.000000,-3.000000
losers,-4.000000,-3.120000
love,4.000000,2.560000
loved,3.640000,1.400000
lover,4.000000,4.000000
lovers,4.000000,2.280000
lovingness,1.714400,-2.000000
loving,1.714400,-2.000000
low,-2.480000,-2.280000
low_spirits,-1.800000,-2.000000
lucky,3.160000,1.520000
lull,0.000000,-2.680000
lust,2.120000,1.880000
mad,-2.560000,1.760000
magic,2.640000,2.320000
magical,3.400000,3.200000
malice,-3.120000,1.320000
malignity,-3.120000,1.320000
mama,2.666800,0.444400
marvellous,4.000000,2.320000
